BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DecadeBuilt,NoBuildings,NoFloors,pct_SteamUse,pct_Electricity,pct_NaturalGas,pct_OtherFuelUse
NonResidential,Small- and Mid-Sized Office,Southeast,1967,1.0,2.0,23250,51.0,131.2,920082.0,0.0,962765.0,0.0,0.0,6.71,0.11,1970s,,2-5,0.0,104.64,0.0,0.0
NonResidential,Educational Building,East,1968,1.0,5.0,40809,34.0,157.2,3150445.0,0.0,1487573.0,1297547.0,0.0,79.28,1.79,1970s,,2-5,0.0,47.22,41.19,0.0
NonResidential,Large Office,Magnolia / queen anne,2000,1.0,5.0,162420,51.0,257.4,7649110.0,0.0,7649428.0,0.0,0.0,53.32,0.13,2000s,,2-5,0.0,100.0,0.0,0.0
SPS-District K-12,Educational Building,Northwest,1970,1.0,1.0,42239,71.0,110.6,2649612.0,0.0,1064387.0,1132500.0,0.0,67.57,1.49,1970s,,0-1,0.0,40.17,42.74,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1949,1.0,1.0,20796,,91.5,1004779.0,0.0,405450.0,599346.0,0.0,34.66,1.58,1950s,,0-1,0.0,40.35,59.65,0.0
NonResidential,Mixed Use Property,Greater duwamish,1931,1.0,1.0,46183,,115.9,2054337.0,0.0,1596307.0,392776.0,0.0,31.99,0.54,1930s,,0-1,0.0,77.7,19.12,0.0
NonResidential,Small- and Mid-Sized Office,East,1922,1.0,3.0,27600,83.0,124.2,961749.0,0.0,844715.0,117069.0,0.0,12.11,0.31,1920s,,2-5,0.0,87.83,12.17,0.0
NonResidential,Small- and Mid-Sized Office,Northeast,2002,1.0,2.0,96300,,462.9,16187105.0,0.0,13835528.0,2404032.0,0.0,224.13,1.71,2000s,,2-5,0.0,85.47,14.85,0.0
NonResidential,Hospital,East,2000,1.0,8.0,1158691,30.0,498.3,297740960.0,122701720.0,170891586.0,2226424.0,0.0,10780.64,8.67,2000s,,6-10,41.21,57.4,0.75,0.0
NonResidential,Educational Building,East,1904,1.0,3.0,48783,49.0,163.1,4579934.0,0.0,1505205.0,2369489.0,0.0,136.34,2.66,1900s,,2-5,0.0,32.87,51.74,0.0
NonResidential,Hotel,East,1991,1.0,8.0,158676,,58.1,5421759.0,0.0,532747.0,4626617.0,0.0,249.43,1.56,1990s,,6-10,0.0,9.83,85.33,0.0
NonResidential,Distribution Center,Greater duwamish,1947,1.0,1.0,21349,65.0,80.3,788925.0,0.0,423751.0,274444.0,0.0,17.53,0.74,1940s,,0-1,0.0,53.71,34.79,0.0
SPS-District K-12,Educational Building,Greater duwamish,1957,1.0,1.0,130862,65.0,97.8,7508759.0,0.0,2151598.0,3699700.0,0.0,211.49,1.55,1950s,,0-1,0.0,28.65,49.27,0.0
NonResidential,Other,Northeast,2002,1.0,6.0,361398,,314.1,9189173.0,0.0,7871797.0,1100457.0,0.0,113.32,0.22,2000s,,6-10,0.0,85.66,11.98,0.0
NonResidential,Small- and Mid-Sized Office,North,1972,1.0,5.0,50759,63.0,168.2,3045139.0,0.0,2556409.0,488836.0,0.0,43.78,0.65,1970s,,2-5,0.0,83.95,16.05,0.0
NonResidential,Educational Building,Downtown,1928,1.0,7.0,126593,,172.1,11360926.0,0.0,4582663.0,5209084.0,0.0,308.6,2.28,1920s,,6-10,0.0,40.34,45.85,0.0
NonResidential,Non-Refrigerated Warehouse,Ballard,1941,1.0,2.0,63240,100.0,6.1,183521.0,0.0,91177.0,92348.0,0.0,5.54,0.08,1940s,,2-5,0.0,49.68,50.32,0.0
Nonresidential COS,Other,Magnolia / queen anne,1962,1.0,1.0,129000,,167.7,28974828.0,8560000.0,14312992.0,0.0,6464408.0,760.51,5.42,1960s,,0-1,29.54,49.4,0.0,22.31
NonResidential,Worship Facility,Ballard,1914,1.0,2.0,33589,95.0,26.0,588117.0,0.0,121667.0,318996.0,0.0,17.79,0.51,1910s,,2-5,0.0,20.69,54.24,0.0
NonResidential,Distribution Center,Greater duwamish,1987,1.0,1.0,111908,69.0,55.3,2481115.0,0.0,1640844.0,614250.0,0.0,44.06,0.33,1990s,,0-1,0.0,66.13,24.76,0.0
NonResidential,Small- and Mid-Sized Office,Ballard,1966,1.0,1.0,22282,92.0,58.2,543430.0,0.0,333542.0,196278.0,0.0,12.75,0.51,1960s,,0-1,0.0,61.38,36.12,0.0
NonResidential,Medical Office,Northeast,1984,1.0,4.0,45264,8.0,255.4,1768692.0,0.0,1695138.0,0.0,0.0,11.82,0.1,1980s,,2-5,0.0,95.84,0.0,0.0
SPS-District K-12,Educational Building,Delridge,1999,1.0,1.0,71714,89.0,93.1,2407341.0,0.0,1903299.0,320100.0,0.0,30.27,0.31,2000s,,0-1,0.0,79.06,13.3,0.0
NonResidential,Supermarket/Grocery Store,Southwest,1997,1.0,1.0,31841,,824.9,13034804.0,0.0,6088718.0,6116456.0,0.0,367.29,10.71,2000s,,0-1,0.0,46.71,46.92,0.0
NonResidential,Refrigerated Warehouse,Greater duwamish,1955,1.0,1.0,25375,,466.3,3814590.0,0.0,3814747.0,0.0,0.0,26.59,0.4,1950s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Downtown,1904,1.0,5.0,78920,95.0,0.0,0.0,0.0,1980139.0,0.0,12551.0,13.8,0.07,1900s,,2-5,,inf,,inf
NonResidential,Hotel,Downtown,1980,1.0,33.0,315952,56.0,183.2,22811690.0,4731090.0,14090906.0,3990280.0,0.0,675.34,1.95,1980s,,31-40,20.74,61.77,17.49,0.0
NonResidential,Retail Store,Downtown,1925,1.0,10.0,693450,92.0,175.0,40250124.0,14089.0,38041251.0,2379542.0,0.0,392.65,0.33,1920s,,6-10,0.04,94.51,5.91,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1969,1.0,2.0,25872,,154.2,1793655.0,0.0,992571.0,703918.0,0.0,44.3,1.55,1970s,,2-5,0.0,55.34,39.24,0.0
NonResidential,Worship Facility,Magnolia / queen anne,1963,1.0,2.0,24227,64.0,67.7,1303354.0,0.0,176180.0,843010.0,0.0,46.0,1.87,1960s,,2-5,0.0,13.52,64.68,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1979,1.0,2.0,47368,93.0,103.0,2223032.0,0.0,1256180.0,705978.0,0.0,46.25,0.86,1980s,,2-5,0.0,56.51,31.76,0.0
NonResidential,Large Office,Downtown,1989,1.0,25.0,369996,71.0,205.4,24882924.0,0.0,24883957.0,0.0,0.0,173.47,0.18,1990s,,21-30,0.0,100.0,0.0,0.0
NonResidential,Other,Downtown,1900,1.0,3.0,49760,,3.2,24126.0,0.0,24127.0,0.0,0.0,0.17,0.0,1900s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Mixed Use Property,Northeast,1999,1.0,2.0,32928,11.0,518.3,5420552.0,0.0,5420777.0,0.0,0.0,37.79,0.44,2000s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Retail Store,East,1910,1.0,2.0,24750,,75.1,1033030.0,0.0,300321.0,511562.0,0.0,29.26,1.13,1910s,,2-5,0.0,29.07,49.52,0.0
NonResidential,Worship Facility,Magnolia / queen anne,2009,1.0,3.0,23241,60.0,78.9,864917.0,0.0,443363.0,334570.0,0.0,20.86,0.82,2010s,,2-5,0.0,51.26,38.68,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1970,1.0,1.0,43390,89.0,36.1,498745.0,0.0,498766.0,0.0,0.0,3.48,0.03,1970s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1979,1.0,1.0,26380,,68.2,707373.0,0.0,483613.0,202462.0,0.0,14.12,0.46,1980s,,0-1,0.0,68.37,28.62,0.0
NonResidential,Large Office,Greater duwamish,2012,1.0,6.0,157345,91.0,148.5,7559566.0,0.0,7069944.0,135486.0,0.0,56.48,0.17,2010s,,6-10,0.0,93.52,1.79,0.0
NonResidential,Distribution Center,Greater duwamish,1961,1.0,1.0,73335,21.0,112.6,3630150.0,0.0,2222664.0,1185928.0,0.0,78.48,0.94,1960s,,0-1,0.0,61.23,32.67,0.0
NonResidential,Retail Store,Delridge,1966,1.0,1.0,64984,76.0,120.2,2785857.0,0.0,2423136.0,298611.0,0.0,32.75,0.34,1960s,,0-1,0.0,86.98,10.72,0.0
NonResidential,Supermarket/Grocery Store,North,1980,1.0,1.0,58480,39.0,568.2,11688054.0,0.0,6285540.0,5354091.0,0.0,328.17,5.15,1980s,,0-1,0.0,53.78,45.81,0.0
NonResidential,Mixed Use Property,East,1916,1.0,2.0,20640,,50.7,345399.0,0.0,345413.0,0.0,0.0,2.41,0.04,1910s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Large Office,Downtown,1907,1.0,8.0,201480,88.0,146.9,10742509.0,1609624.0,8125295.0,0.0,0.0,180.89,0.72,1900s,,6-10,14.98,75.64,0.0,0.0
NonResidential,Educational Building,East,1912,1.0,4.0,27800,8.0,222.3,1339654.0,0.0,518887.0,668192.0,0.0,39.1,1.33,1910s,,2-5,0.0,38.73,49.88,0.0
NonResidential,Small- and Mid-Sized Office,Central,1984,1.0,5.0,72613,85.0,145.9,2588948.0,0.0,2106820.0,410343.0,0.0,36.48,0.38,1980s,,2-5,0.0,81.38,15.85,0.0
NonResidential,Mixed Use Property,Southwest,1926,1.0,2.0,23315,,206.2,1553273.0,0.0,862792.0,490261.0,0.0,32.05,1.22,1920s,,2-5,0.0,55.55,31.56,0.0
NonResidential,Small- and Mid-Sized Office,Northeast,1957,1.0,1.0,27966,58.0,182.7,1219385.0,0.0,1101582.0,0.0,0.0,7.68,0.11,1950s,,0-1,0.0,90.34,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Magnolia / queen anne,1952,1.0,3.0,66462,,530.7,8901118.0,0.0,9110347.0,0.0,0.0,63.51,0.37,1950s,,2-5,0.0,102.35,0.0,0.0
NonResidential,Distribution Center,Greater duwamish,1979,1.0,1.0,36982,,26.0,390007.0,0.0,254503.0,84430.0,0.0,6.26,0.14,1980s,,0-1,0.0,65.26,21.65,0.0
NonResidential,Small- and Mid-Sized Office,Lake union,2001,1.0,5.0,33740,68.0,178.8,1404467.0,0.0,1404525.0,0.0,0.0,9.79,0.11,2000s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Educational Building,Central,1922,1.0,2.0,21592,43.0,148.1,1913488.0,0.0,505257.0,1040249.0,0.0,58.77,2.62,1920s,,2-5,0.0,26.41,54.36,0.0
NonResidential,Other,Northwest,1964,1.0,2.0,92080,,147.7,6364577.0,0.0,3355367.0,2850658.0,0.0,174.79,1.74,1960s,,2-5,0.0,52.72,44.79,0.0
NonResidential,Medical Office,Delridge,1970,1.0,1.0,43615,89.0,150.2,3599369.0,0.0,1325644.0,1792715.0,0.0,104.45,2.26,1970s,,0-1,0.0,36.83,49.81,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1950,1.0,1.0,93610,94.0,154.9,6794765.0,0.0,4130858.0,1972197.0,0.0,133.54,1.24,1950s,,0-1,0.0,60.79,29.03,0.0
Nonresidential COS,Small- and Mid-Sized Office,Ballard,1993,1.0,1.0,27744,66.0,540.0,4770943.0,0.0,4771140.0,0.0,0.0,33.26,0.46,1990s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Medical Office,North,1988,1.0,3.0,28841,61.0,115.8,1415415.0,0.0,930013.0,404901.0,0.0,27.99,0.83,1990s,,2-5,0.0,65.71,28.61,0.0
NonResidential,Large Office,Downtown,2000,1.0,11.0,268130,89.0,182.1,15583794.0,0.0,15535696.0,36591.0,0.0,110.24,0.16,2000s,,11-15,0.0,99.69,0.23,0.0
NonResidential,Non-Refrigerated Warehouse,Lake union,1979,1.0,2.0,78716,24.0,178.7,4673827.0,0.0,4384080.0,289928.0,0.0,45.96,0.34,1980s,,2-5,0.0,93.8,6.2,0.0
Nonresidential COS,Other,Lake union,1900,1.0,1.0,58000,,378.0,8273346.0,0.0,3644232.0,3694428.0,0.0,221.62,3.55,1900s,,0-1,0.0,44.05,44.65,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1904,1.0,4.0,114297,67.0,35.1,2060926.0,0.0,854011.0,884748.0,0.0,52.94,0.43,1900s,,2-5,0.0,41.44,42.93,0.0
NonResidential,Mixed Use Property,Northeast,1976,1.0,2.0,34948,22.0,198.3,1211450.0,0.0,1100620.0,0.0,0.0,7.67,0.08,1970s,,2-5,0.0,90.85,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1951,1.0,1.0,24000,,60.7,742565.0,0.0,323579.0,419000.0,0.0,24.51,0.96,1950s,,0-1,0.0,43.58,56.43,0.0
NonResidential,Self-Storage Facility,Greater duwamish,1930,1.0,1.0,25881,,65.2,537141.0,0.0,537164.0,0.0,0.0,3.74,0.06,1930s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1926,1.0,2.0,20400,62.0,48.4,445232.0,0.0,260108.0,196650.0,0.0,12.26,0.55,1920s,,2-5,0.0,58.42,44.17,0.0
SPS-District K-12,Educational Building,Lake union,1999,1.0,3.0,95501,88.0,85.1,3488693.0,0.0,2135786.0,969700.0,0.0,66.39,0.6,2000s,,2-5,0.0,61.22,27.8,0.0
NonResidential,Large Office,Greater duwamish,2007,1.0,1.0,158931,20.0,186.2,8104771.0,0.0,7087782.0,490233.0,0.0,75.45,0.28,2010s,,0-1,0.0,87.45,6.05,0.0
NonResidential,Retail Store,Magnolia / queen anne,1978,1.0,1.0,50660,53.0,118.4,2336480.0,0.0,1754715.0,640201.0,0.0,46.23,0.76,1980s,,0-1,0.0,75.1,27.4,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1982,1.0,2.0,41262,86.0,139.5,1810353.0,0.0,1810428.0,0.0,0.0,12.62,0.12,1980s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Educational Building,East,1925,1.0,3.0,428347,,185.2,39483712.0,13254980.0,21617129.0,1496748.0,0.0,1253.31,2.71,1920s,,2-5,33.57,54.75,3.79,0.0
NonResidential,Retail Store,Downtown,1940,1.0,3.0,83118,51.0,176.8,2713835.0,0.0,2444122.0,199928.0,0.0,27.66,0.21,1940s,,2-5,0.0,90.06,7.37,0.0
NonResidential,Small- and Mid-Sized Office,Downtown,1917,1.0,2.0,21600,,231.1,2056223.0,0.0,1355575.0,588253.0,0.0,40.69,1.61,1910s,,2-5,0.0,65.93,28.61,0.0
NonResidential,Other,Downtown,1955,1.0,2.0,31890,3.0,154.3,1531473.0,0.0,1691092.0,0.0,0.0,11.79,0.14,1950s,,2-5,0.0,110.42,0.0,0.0
NonResidential,Retail Store,Downtown,1914,1.0,4.0,79957,34.0,266.0,5542252.0,0.0,5680936.0,0.0,0.0,39.6,0.19,1910s,,2-5,0.0,102.5,0.0,0.0
NonResidential,Worship Facility,Northeast,1927,1.0,2.0,78401,,65.8,2713090.0,0.0,993032.0,1156331.0,0.0,68.34,0.82,1920s,,2-5,0.0,36.6,42.62,0.0
SPS-District K-12,Educational Building,Southeast,1991,1.0,2.0,58933,71.0,127.9,2473493.0,0.0,2150209.0,0.0,0.0,14.99,0.1,1990s,,2-5,0.0,86.93,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1932,1.0,1.0,24617,98.0,13.0,94186.0,0.0,94189.0,0.0,0.0,0.66,0.01,1930s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Other,Southwest,1920,1.0,1.0,31332,,358.0,3572227.0,0.0,3643263.0,0.0,0.0,25.4,0.31,1920s,,0-1,0.0,101.99,0.0,0.0
NonResidential,Mixed Use Property,Greater duwamish,1916,1.0,1.0,27000,,33.6,289310.0,0.0,257964.0,0.0,0.0,1.8,0.03,1910s,,0-1,0.0,89.17,0.0,0.0
SPS-District K-12,Educational Building,Greater duwamish,1971,1.0,2.0,52901,82.0,93.1,2338338.0,0.0,1181533.0,804900.0,0.0,50.98,0.87,1970s,,2-5,0.0,50.53,34.42,0.0
NonResidential,Small- and Mid-Sized Office,Lake union,1986,1.0,4.0,57432,,248.3,2700903.0,0.0,2498788.0,0.0,0.0,17.42,0.12,1990s,,2-5,0.0,92.52,0.0,0.0
NonResidential,Residence Hall,Northeast,1930,1.0,3.0,20960,,131.3,1797865.0,0.0,382271.0,1087614.0,0.0,60.43,2.8,1930s,,2-5,0.0,21.26,60.49,0.0
NonResidential,Small- and Mid-Sized Office,Ballard,1961,1.0,2.0,94900,57.0,165.9,6605535.0,0.0,4289697.0,1754334.0,0.0,123.08,1.1,1960s,,2-5,0.0,64.94,26.56,0.0
NonResidential,Other,East,1964,1.0,4.0,49243,,471.3,8436996.0,0.0,7551223.0,886085.0,0.0,99.7,1.37,1960s,,2-5,0.0,89.5,10.5,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1970,1.0,1.0,23750,,80.9,538740.0,0.0,538763.0,0.0,0.0,3.76,0.06,1970s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1927,1.0,1.0,21600,55.0,58.0,658094.0,0.0,260985.0,262159.0,0.0,15.74,0.68,1920s,,0-1,0.0,39.66,39.84,0.0
NonResidential,Large Office,Downtown,1988,1.0,13.0,358259,81.0,199.6,15934393.0,0.0,14090968.0,844867.0,0.0,143.1,0.23,1990s,,11-15,0.0,88.43,5.3,0.0
SPS-District K-12,Educational Building,Southeast,2008,1.0,2.0,29525,55.0,163.0,2041504.0,0.0,1161087.0,527700.0,0.0,36.12,1.05,2010s,,2-5,0.0,56.87,25.85,0.0
Nonresidential COS,Other,Downtown,1999,1.0,2.0,97288,,321.6,13045258.0,0.0,7271004.0,4781283.0,0.0,304.62,2.81,2000s,,2-5,0.0,55.74,36.65,0.0
NonResidential,Other,North,1964,1.0,3.0,54224,,334.9,8292959.0,0.0,3366679.0,4246577.0,0.0,249.01,4.33,1960s,,2-5,0.0,40.6,51.21,0.0
NonResidential,Non-Refrigerated Warehouse,Magnolia / queen anne,1974,1.0,3.0,56259,,82.7,2761760.0,0.0,838298.0,1365971.0,0.0,78.39,1.33,1970s,,2-5,0.0,30.35,49.46,0.0
NonResidential,Large Office,Downtown,1980,1.0,18.0,413715,82.0,208.4,23219110.0,0.0,23069718.0,110365.0,0.0,166.68,0.16,1980s,,16-20,0.0,99.36,0.48,0.0
NonResidential,Medical Office,Downtown,1995,1.0,4.0,43813,76.0,125.1,1798899.0,0.0,1798974.0,0.0,0.0,12.54,0.11,1990s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Retail Store,Northeast,1956,1.0,2.0,54284,16.0,392.9,7139607.0,0.0,6694748.0,313781.0,0.0,63.33,0.64,1950s,,2-5,0.0,93.77,4.39,0.0
Nonresidential COS,Other,Greater duwamish,1906,1.0,,39212,,61.9,773013.0,0.0,773045.0,0.0,0.0,5.39,0.05,1900s,,,0.0,100.0,0.0,0.0
NonResidential,Retail Store,North,1965,1.0,1.0,24982,89.0,88.3,702385.0,0.0,702414.0,0.0,0.0,4.9,0.08,1960s,,0-1,0.0,100.0,0.0,0.0
SPS-District K-12,Educational Building,North,1989,1.0,2.0,52792,98.0,81.6,1440992.0,0.0,1227341.0,0.0,0.0,8.56,0.06,1990s,,2-5,0.0,85.17,0.0,0.0
NonResidential,Other,Northwest,1984,1.0,1.0,144776,57.0,242.1,13355228.0,0.0,10138674.0,3008393.0,0.0,230.45,1.29,1980s,,0-1,0.0,75.92,22.53,0.0
NonResidential,Mixed Use Property,Downtown,1926,1.0,2.0,52549,,537.1,16598244.0,0.0,5294026.0,10290141.0,0.0,583.41,10.67,1920s,,2-5,0.0,31.9,62.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1961,1.0,1.0,38005,,56.5,752188.0,0.0,635211.0,102295.0,0.0,9.86,0.19,1960s,,0-1,0.0,84.45,13.6,0.0
NonResidential,Retail Store,Greater duwamish,1975,1.0,1.0,43794,86.0,70.0,1115020.0,0.0,906497.0,208561.0,0.0,17.4,0.31,1970s,,0-1,0.0,81.3,18.7,0.0
NonResidential,Hotel,Downtown,1925,1.0,4.0,33018,46.0,320.1,5434227.0,0.0,1826686.0,3085910.0,0.0,176.63,5.11,1920s,,2-5,0.0,33.61,56.79,0.0
NonResidential,Other,Lake union,1963,1.0,4.0,102235,,582.0,26229978.0,0.0,15829648.0,9461368.0,0.0,612.84,5.33,1960s,,2-5,0.0,60.35,36.07,0.0
NonResidential,Supermarket/Grocery Store,North,1996,1.0,1.0,44755,35.0,623.5,13426812.0,0.0,7268728.0,5308909.0,0.0,332.63,6.73,2000s,,0-1,0.0,54.14,39.54,0.0
NonResidential,Other,Magnolia / queen anne,1999,1.0,5.0,141718,,357.7,19087388.0,0.0,14774297.0,4716603.0,0.0,353.49,2.05,2000s,,2-5,0.0,77.4,24.71,0.0
Campus,Educational Building,Delridge,1970,1.0,2.0,441071,,201.9,41809228.0,0.0,24886028.0,12545788.0,0.0,839.79,1.66,1970s,,2-5,0.0,59.52,30.01,0.0
NonResidential,Self-Storage Facility,Northeast,1996,1.0,4.0,38959,,66.6,1323724.0,0.0,584825.0,545296.0,0.0,33.04,0.78,2000s,,2-5,0.0,44.18,41.19,0.0
NonResidential,Mixed Use Property,Lake union,1954,1.0,3.0,67380,65.0,100.9,3131150.0,0.0,1612512.0,1042359.0,0.0,66.6,0.89,1950s,,2-5,0.0,51.5,33.29,0.0
SPS-District K-12,Educational Building,Delridge,1963,1.0,1.0,145341,77.0,75.3,6165405.0,0.0,1914941.0,3083154.0,0.0,177.1,1.16,1960s,,0-1,0.0,31.06,50.01,0.0
NonResidential,Large Office,Downtown,1964,1.0,22.0,336330,75.0,196.4,21205032.0,6288798.0,13565778.0,0.0,0.0,579.99,1.55,1960s,,21-30,29.66,63.97,0.0,0.0
NonResidential,Retail Store,North,1958,1.0,2.0,20738,44.0,75.4,497991.0,0.0,498012.0,0.0,0.0,3.47,0.06,1960s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Lake union,1959,1.0,2.0,21128,85.0,95.7,644122.0,0.0,684893.0,0.0,0.0,4.77,0.09,1960s,,2-5,0.0,106.33,0.0,0.0
NonResidential,Hotel,Downtown,1969,1.0,24.0,332210,68.0,121.0,15660628.0,0.0,12308680.0,3352459.0,0.0,263.85,0.63,1970s,,21-30,0.0,78.6,21.41,0.0
Nonresidential COS,Mixed Use Property,Greater duwamish,1966,1.0,1.0,87458,,218.0,10110619.0,0.0,4044893.0,4643950.0,0.0,274.84,2.94,1960s,,0-1,0.0,40.01,45.93,0.0
NonResidential,Other,Downtown,1916,1.0,10.0,540360,67.0,210.4,55378956.0,0.0,26798906.0,26534856.0,0.0,1596.08,2.74,1910s,,6-10,0.0,48.39,47.92,0.0
NonResidential,Self-Storage Facility,Northeast,1947,1.0,3.0,22522,,55.5,920284.0,0.0,129818.0,599722.0,0.0,32.76,1.43,1940s,,2-5,0.0,14.11,65.17,0.0
NonResidential,Worship Facility,Delridge,1963,1.0,1.0,23706,77.0,37.8,479695.0,0.0,187572.0,210793.0,0.0,12.5,0.49,1960s,,0-1,0.0,39.1,43.94,0.0
NonResidential,Non-Refrigerated Warehouse,Lake union,1938,1.0,1.0,40028,78.0,60.7,962238.0,0.0,958572.0,3706.0,0.0,6.88,0.07,1930s,,0-1,0.0,99.62,0.39,0.0
NonResidential,Small- and Mid-Sized Office,Delridge,1988,1.0,2.0,66484,69.0,125.6,3053785.0,0.0,3053912.0,0.0,0.0,21.29,0.12,1990s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Large Office,Downtown,1963,1.0,11.0,169020,90.0,137.8,10845096.0,2726250.0,6065399.0,1319431.0,0.0,322.79,1.76,1960s,,11-15,25.14,55.93,12.17,0.0
NonResidential,Small- and Mid-Sized Office,Downtown,1900,1.0,6.0,89355,55.0,164.9,4767764.0,0.0,4654448.0,88380.0,0.0,37.14,0.19,1900s,,6-10,0.0,97.62,1.85,0.0
NonResidential,Large Office,Downtown,1921,1.0,13.0,189175,13.0,363.3,19018762.0,0.0,19019550.0,0.0,0.0,132.59,0.27,1920s,,11-15,0.0,100.0,0.0,0.0
NonResidential,Medical Office,East,2003,1.0,5.0,275130,69.0,187.7,10624295.0,0.0,10624737.0,0.0,0.0,74.07,0.1,2000s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1928,1.0,2.0,40800,,40.9,900054.0,0.0,345845.0,398784.0,0.0,23.59,0.54,1920s,,2-5,0.0,38.42,44.31,0.0
SPS-District K-12,Educational Building,Magnolia / queen anne,2003,1.0,3.0,75214,87.0,82.3,2295845.0,0.0,1807220.0,488700.0,0.0,38.55,0.41,2000s,,2-5,0.0,78.72,21.29,0.0
NonResidential,Other,Northeast,1924,1.0,2.0,21600,,128.7,1730886.0,0.0,1730957.0,0.0,0.0,12.07,0.21,1920s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Other,Southeast,1963,1.0,2.0,20047,,19.7,125753.0,0.0,109018.0,0.0,0.0,0.76,0.01,1960s,,2-5,0.0,86.69,0.0,0.0
NonResidential,Other,Southeast,2009,1.0,,40265,,127.2,2176523.0,0.0,1334228.0,623184.0,0.0,42.4,0.91,2010s,,,0.0,61.3,28.63,0.0
NonResidential,Small- and Mid-Sized Office,Downtown,1900,1.0,6.0,75496,,190.0,3643652.0,0.0,3347706.0,0.0,0.0,23.34,0.12,1900s,,6-10,0.0,91.88,0.0,0.0
NonResidential,Hotel,Northwest,1990,1.0,4.0,41704,84.0,99.5,1943857.0,0.0,995707.0,934033.0,0.0,56.55,1.25,1990s,,2-5,0.0,51.22,48.05,0.0
NonResidential,Hotel,Downtown,1926,1.0,11.0,36240,97.0,107.9,2511813.0,1050707.0,501315.0,542524.0,0.0,113.41,3.07,1920s,,11-15,41.83,19.96,21.6,0.0
