BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DecadeBuilt,NoBuildings,NoFloors,pct_SteamUse,pct_Electricity,pct_NaturalGas,pct_OtherFuelUse
NonResidential,Mixed Use Property,East,1908,1.0,4.0,55520,,105.2,3852835.0,0.0,858860.0,2536826.0,0.0,140.72,2.47,1900s,,2-5,0.0,22.29,65.84,0.0
NonResidential,Small- and Mid-Sized Office,Lake union,1960,1.0,2.0,34110,31.0,238.0,2585176.0,0.0,2559592.0,0.0,0.0,17.84,0.2,1960s,,2-5,0.0,99.01,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1979,1.0,1.0,22000,11.0,104.3,731092.0,0.0,731123.0,0.0,0.0,5.1,0.09,1980s,,0-1,0.0,100.0,0.0,0.0
Nonresidential COS,Other,North,1996,1.0,2.0,29258,,418.7,8682092.0,0.0,2578093.0,4904846.0,0.0,278.47,9.14,2000s,,2-5,0.0,29.69,56.49,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1927,1.0,1.0,22580,90.0,118.9,915300.0,0.0,857989.0,91022.0,0.0,10.82,0.32,1920s,,0-1,0.0,93.74,9.94,0.0
NonResidential,Large Office,Lake union,2001,1.0,5.0,176532,44.0,204.6,6743116.0,0.0,6743395.0,0.0,0.0,47.01,0.1,2000s,,2-5,0.0,100.0,0.0,0.0
SPS-District K-12,Educational Building,Magnolia / queen anne,1925,1.0,1.0,48789,89.0,86.0,1976900.0,0.0,893493.0,651900.0,0.0,40.85,0.76,1920s,,0-1,0.0,45.2,32.98,0.0
SPS-District K-12,Educational Building,Ballard,1958,1.0,1.0,39971,94.0,84.0,1927090.0,0.0,579552.0,919600.0,0.0,52.88,1.26,1960s,,0-1,0.0,30.07,47.72,0.0
Nonresidential COS,Other,Downtown,1922,1.0,2.0,37740,,196.3,3671239.0,0.0,1813369.0,1402659.0,0.0,87.14,2.1,1920s,,2-5,0.0,49.39,38.21,0.0
NonResidential,Other,Greater duwamish,1999,1.0,6.0,1585960,,106.9,59991984.0,0.0,50980399.0,9013708.0,0.0,834.11,0.39,2000s,,6-10,0.0,84.98,15.02,0.0
NonResidential,Other,Downtown,1927,1.0,4.0,32356,92.0,104.1,1463824.0,448146.0,855776.0,0.0,0.0,40.56,1.14,1920s,,2-5,30.61,58.46,0.0,0.0
NonResidential,Residence Hall,Northeast,1929,1.0,3.0,22124,75.0,101.4,714503.0,0.0,686977.0,0.0,0.0,4.79,0.08,1930s,,2-5,0.0,96.15,0.0,0.0
NonResidential,Senior Care Community,North,1998,1.0,5.0,43661,4.0,245.3,4264182.0,0.0,2708351.0,1213827.0,0.0,83.35,1.64,2000s,,2-5,0.0,63.51,28.47,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1954,1.0,1.0,78814,87.0,19.8,688110.0,0.0,399918.0,220582.0,0.0,14.5,0.16,1950s,,0-1,0.0,58.12,32.06,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1970,1.0,2.0,28304,68.0,155.6,1347208.0,0.0,1261767.0,0.0,0.0,8.8,0.12,1970s,,2-5,0.0,93.66,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Southeast,2009,1.0,3.0,38075,,163.8,2068903.0,0.0,1800613.0,121351.0,0.0,19.0,0.3,2010s,,2-5,0.0,87.03,5.87,0.0
NonResidential,Large Office,Downtown,2000,1.0,11.0,312512,,263.1,26313108.0,0.0,26123609.0,190583.0,0.0,192.23,0.26,2000s,,11-15,0.0,99.28,0.72,0.0
